0Calories ,1Fats (gm),2Proteins(g),3Iron(mg),4Calcium(mg),5Sodium(mg),6Potassium(mg),7Carbohydrates (gm),8Fibre (gm),9Vitamin D (mcg),10Sugars (gm)
143,11.1,4.3,0.8,171.4,11.3,63,9.4,3.2,0,0.41
161,0.2,4.3,0.4,11,123,26,36.6,3.8,0,1.3
458,19.6,17.5,4.6,66.9,63.1,640,52.9,12.9,0,0.21
224,7,5,4.4,106,360,795,37,6,0,15
580,22.5,16.5,2.2,100,1875,321,85,23.5,0,8
43,1.4,2.5,0.2,98.4,27.8,39.7,5,1.3,0,1
129,11,1,1,22,39,167,7,1,0,3
282,20.2,3.5,0.7,68.7,3.8,127.9,20.5,2.3,0,20
130,8,3,1.5,46.7,189.3,96.2,11.9,4,0,3.1
282,20.2,3.5,0.7,68.7,3.8,127.9,20.5,2.3,0,20
350,16.5,5.8,0.9,242.1,29.7,137.1,40,3,0,24
99,4.9,2.9,0.7,36.7,9.3,102.4,10.2,1.5,0,11
170,4.1,18.8,0.4,206.2,61.8,294.2,15.9,1.4,0,13.1
111,11.9,2.1,1.3,19.5,2.8,167.9,6.1,0,0,4.3
69,0.3,1.6,0.8,76.7,6.8,88.3,14,2.4,0,0.7
170,14.4,11.7,0.8,35.4,13.6,168.3,8.4,3.6,0,0.4
99.2,5.5,2.2,0.6,11.8,282.7,230.1,10.3,1.2,0.1,0.7
43,1.4,1.6,0.21,12,321,340,6.5,0.5,0,0.3
199.9,1,3,0.4,0,0,216,44,1,0,1
220,7.8,2.7,0.8,33.9,18.2,405.9,35.2,2.8,0,0.4
98,1,2,0.8,8,59,23,18,1,1,0.21
539,39,12,3,208,624,857,40,6,1,8
784.35,79.03,13.43,0.7,30.3,1260.91,486.81,5.37,0.47,0,1.81
221,10,3,2.8,56,28,579,30,4,0,10
156,8,3,0.5,21,53,94,20,2,0,10
299,21,15,3,104,59,375,16,5,0,4
132,3,7.2,1.6,50,18,386.2,19.1,3,0,1
450,32,8.4,1,195,77,289,32,1.2,0,30
120,1.6,5.1,0.81,13,41,321,31,1,0,19
56.38,0.1,0.16,0.2,11.5,1.48,16.6,12.1,0.41,0,9.25
61,1.4,2.5,0.9,25.2,6.7,121.6,9.6,1.7,0,0.35
254,26.1,4.7,1,13,368.8,251,2.2,0.7,0,0.4
333.6,8.5,4,1.4,13,54.2,123.1,60.8,1.7,0,16.7
132.56,5.35,5.64,1.4,32,20.81,176.31,14.99,1.51,0,2.36
492,34,34,2,26,658,471,12,1,0,10
341,11,14,4.8,52.3,51.3,573.1,46.9,11.2,0,1.1
156,0.1,0.3,0.1,11,6.6,27.4,14,0.2,0,12
217,8.9,5.7,1.7,62.1,221.9,132.2,28.6,1.4,0,0.28
65,0.8,4,1,11.7,11.5,111.9,10.7,3.4,0,3
44,0.7,1.3,0.6,33.3,6.4,71.1,8,1.7,0,0.9
174.3,8.6,5.4,1,60.1,41.7,161.5,21,2.1,0,18.4
399,22,12,2.7,276,353,327,37,4,0,7
270,14.9,10,1,6,353.9,325,28.5,4.9,0,1
386,3.9,5.6,0.9,299.8,31.3,95,41.8,3.9,0,1.2
88,2.6,5.1,1.1,14.4,5.6,61.4,11.3,6.1,0,0.61
223,11.5,7,0.41,5.1,293,211,29,7,0,3
37,0.7,2.2,0.5,12,2.3,78.9,5.6,1.6,0,1.1
151.4,3.7,4.3,1,4.1,911.6,73.2,27.5,7.4,0,6.4
143,11.1,4.3,0.8,171.4,11.3,63,9.4,3.2,0,0.4
367.4,27.2,9.7,1,4,438.3,247,22.7,2.2,1,0.1
8,0,0,0,1.3,138.5,3.3,1.9,0,0,0.12
84.8,2.6,12.7,1,2.1,156.4,154.7,2,0.1,0,0.2
108,4.6,10,3.2,67,594,103,9.2,4.2,0,3.5
370,20.12,16.33,6.47,240.5,610.75,229.17,30.42,1.5,1.86,9
78,1.9,2.5,0.9,27.3,10.2,62.1,13.3,2.2,0,1.02
94,0.1,0.4,0.2,20.02,6.2,89.4,24.2,0.4,0,22.6
115,6,7,1,140,171,213,8,1,0,2
121,9,2.7,0.5,144.6,0.9,106.5,7.3,1.5,0,0.41
39,1.7,1,0.5,11.4,2.5,23.5,5,0.9,0,0.3
325,18,11,2.8,116,547,501,28,5,0,7
229,15,5,6,81,663,683,21,4,0,4
172,6,4.2,2.5,12,38.2,146,7.3,1.3,0,0.2
151,2.8,3.9,1.1,15,19.9,111,27.6,3.3,0,0.3
217,8.9,5.7,1.7,62.1,221.9,132.2,28.6,1.4,0,1.1
175,11,11,1.1,10,1542,0,6,1,0,3
270,19.3,4.6,0.81,6,228,0,24.3,4.5,0,2.6
70,4.53,0.94,0.41,3.1,64,14,6.3,0.1,0,0.37
199,8,9,0.3,1.2,144,1375,25,8,0,8
62,0,1,0.5,1.5,2,231,15,0,0,14
180,7.6,1.2,0.4,19.3,34.8,86.1,26.8,1.7,0,0.4
387,20.6,3.47,1.77,24,55,136,50.95,1.8,19,40.47
476,13,24,7.4,85,146,1022,64,32,0,5
48,2,2,1,11,2,75,6,2,0,1
44,4,1,1,9,2,65,2,1,0,1
257,1,19,6.1,51,28,13,41,16,0,12
271,15,7,1.2,8.2,434,748,28,7,0,9
286,12.6,2.7,1.4,11.3,1.7,97.2,40.1,0.4,0,6.7
156,2,9,0.4,2.4,145,152,20,1,0,15
165,47,59,9.2,615.2,11304,1947,152,13,0,11.5
419,25,5,2.3,29,35,364,46,3,0,7
32,1.5,2.7,0.2,50.5,74.6,108.3,2,0.4,0,1.3
327,18,9,2,37,210,489,34,4,0,4
606.92,25.9,34.98,59.7,19.3,459.43,529.03,62.81,2.67,0,0.21
116,3,5,2,48,28,541,20,3,0,3
459,36,17,1,14,321,364,16,3,0,4
111,6.8,4.4,0.6,24.9,37.7,212.5,8.2,2.5,0,0.41
91,5,3,1,63,331,255,10,1,0,3
468,24,17,4,8,398,426,52,3,0,3
312.35,21.63,3.24,1.3,47.8,309.76,457.77,27.14,2.47,0,10.49
111,5.9,2.2,0.9,15.6,0.1,113.9,12.1,0.2,0,9.1
234,15,5,3,70,109,429,22,7,0,4
819,27,17,6.7,162,131,772,128,12,0,34
516,46.8,5.6,1.8,70.7,6.4,105.9,18.2,14.6,0,0.9
171,9.5,2.5,0.9,17.5,4.9,95.9,18.3,0.7,0,1.01
121,6.5,1.9,0.3,7.2,4.5,24.1,13.8,0.1,0,0.81
124,3.8,5.6,2,34.4,23.3,198,17.7,4.9,0,3.2
84,4,1,1.1,9,83,200,9,3,0,3
230,11,9,3,56,69,457,25,12,0,3
51,2.3,0.8,0.6,40.8,0.5,19.6,6.7,0.6,0,2
132.6,9.9,2,0.6,30.3,43,101.3,10.7,2.2,0,8.5
132,3,7.2,1.6,50,18,386.2,19.1,3,0,1.2
68,3.5,2.7,0.1,125.7,0.1,6.9,6.8,0.2,0,9.2
259,13,5,2,134,119,839,35,6,0,12
187,7.2,6.3,2.1,100.8,17.9,141.2,25.5,4.6,0,1.2
307,15,36,1,6.2,745,711,6.1,1.1,0,2.7
120,2.2,7.3,2.2,23.7,196.1,176.3,17.8,3,0,0.51
435,16.3,13.3,3,65.2,20.3,605.1,59.4,6.6,0,1.2
647,35,42,26.9,779,540,3085,48,11,0,12
287,13.5,11.8,3.7,177,650,71.2,31.2,5.6,0,1.4
469,39.5,10.6,0.6,370.9,2.4,60.7,17.1,0.7,0,2.1
132,6,2,0.57,1.2,597,294,16,6,0,4
53,0.2,1.8,0.7,46.7,28.8,249.9,12.6,2.3,0,2
45,4.1,0.6,0.1,2.9,3.7,37.6,1.4,1.1,0,1.3
181,66,10,2,110,961,214,21,2,0,8
81,5.9,1.8,0.5,6.3,4,46.8,5.1,2.3,0,2.3
210.2,10.2,2.3,0.6,45,93.5,29.5,27.6,0.3,0,19.5
100,5,3,0.72,11,13,83,15,2,0,5
144,3.2,4,0.51,9.8,118,57,30,1,0,1
150.1,6.6,2.8,0.9,60,217.2,186.5,21.6,2.2,0,1.9
311,23.11,7.65,2,140,134,790,23.76,10,0,13.63
354,15,10,10.9,120,1288,1756,48,11,0,5
92,0.8,4,1.5,97,29.2,216.5,17.2,4.4,0,1
99,1.8,1.6,0.2,2.3,1.6,17.7,19.2,0.9,0,2.11
212,12,2.6,0.57,3.1,51.2,31.2,5.1,1.1,0,1
580,28,21,6.3,200,880,376,62,5,0,7
291,19,4,3,78,703,646,30,4,0,19
316,20,12,1.31,9.1,140,281,23,2,0,3
72,2.9,2.8,1.1,27.3,8.5,108.6,8.5,3.6,0,1
377,12,24,0.42,3.2,242,110,47,6,0,16
607,36.2,5.9,0.5,160.3,318.5,232.2,65,0.6,0,1
118,0.17,1.53,0.54,17,9,816,27.88,4.1,0,0.5
63,31,2.2,1.4,40,12,470,8.5,2.7,0,4.9
205,13,15,2,152,497,153,8,1,0,3
218,8.9,3.7,1.5,36.6,304.5,693.3,32,2.7,0,0.71
240,4,20,0.6,21,400,211,21,2,0,5
93,4.7,3.6,0,172.7,0.1,0.3,9,0,0,1
275,14,9,0.2,7.1,475,0,27,9,0,5
399,19,10,3.6,99.1,690.5,112,47,9.1,0,8
61,2.5,2.5,0.6,21,9.2,83.6,6.8,1.6,0,1.2
427,6,56,0.41,6,1138,51.1,33,4,0,32
245.9,13.6,4.3,1.1,34.6,138.8,86.4,27.6,0.8,0,15.3
360,15,19,1.2,15,1120,1210,69,21,0,13
72,6.4,2.1,0.71,3.2,8.3,41.2,6.1,0.92,0,1
154,8,4,0.8,52,26,219,16,2,0,9
394,16.79,32,2,50,555,111,31,4,0,1.4
337,4,13,7,107,484,312,68,15,0,8
208,11.3,3,1.1,27.8,39.9,311.2,23.7,3.7,0,1.3
533.8,28.3,11.3,4.9,116.7,141.4,2441.6,65.8,12.5,0,16.2
252,10,6,1,164,69,332,37,2,1,23
311.4,19.8,29.5,0.9,12,144.1,123,2.1,0.1,0,0.3
237,14,4,1,30,498,385,26,5,0,6
